# z  x_e  x_H  x_He  Tmat
  8810.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.240099750000000022E+05
  8800.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.239827250000000022E+05
  8790.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.239554750000000022E+05
  8780.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.239282250000000022E+05
  8770.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.239009750000000022E+05
  8760.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.238737250000000022E+05
  8750.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.238464750000000022E+05
  8740.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.238192250000000022E+05
  8730.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.237919750000000022E+05
  8720.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.237647250000000022E+05
  8710.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.237374750000000022E+05
  8700.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.237102250000000022E+05
  8690.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.236829750000000022E+05
  8680.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.236557250000000022E+05
  8670.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.236284750000000022E+05
  8660.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.236012250000000022E+05
  8650.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.235739750000000022E+05
  8640.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.235467250000000022E+05
  8630.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.235194750000000022E+05
  8620.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.234922250000000022E+05
  8610.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.234649750000000022E+05
  8600.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.234377250000000022E+05
  8590.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.234104750000000022E+05
  8580.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.233832250000000022E+05
  8570.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.233559750000000022E+05
  8560.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.233287250000000022E+05
  8550.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.233014750000000022E+05
  8540.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.232742250000000022E+05
  8530.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.232469750000000022E+05
  8520.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.232197250000000022E+05
